Ref,Val,Package,PosX,PosY,Rot,Side
"D4","PESD5V0S1UL_315","DFN1006-2_SOD882_NEX",132.600000,-87.800000,90.000000,bottom
"D5","PESD5V0S1UL_315","DFN1006-2_SOD882_NEX",141.200000,-87.200000,90.000000,bottom
"D6","PESD5V0S1UL_315","DFN1006-2_SOD882_NEX",129.900000,-87.400000,90.000000,bottom
"D7","PESD5V0S1UL_315","DFN1006-2_SOD882_NEX",136.400000,-87.800000,90.000000,bottom
"R7","10k","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",133.800000,-87.900000,-90.000000,bottom
"R8","10k","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",142.300000,-87.200000,-90.000000,bottom
"R9","10k","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",131.100000,-87.500000,-90.000000,bottom
"R10","10k","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",137.500000,-87.900000,-90.000000,bottom
"SW1","~","COM-10302",145.971400,-51.100000,180.000000,bottom
"SW2","~","COM-10302",121.871400,-71.000000,180.000000,bottom
"C1","100nF","C_0201_0603Metric",130.000000,-67.180000,-90.000000,top
"C2","100nF","C_0201_0603Metric",129.000000,-67.180000,-90.000000,top
"C3","100nF","C_0201_0603Metric",128.000000,-67.200000,-90.000000,top
"C4","100nF","C_0201_0603Metric",127.000000,-67.200000,-90.000000,top
"C5","100nF","C_0201_0603Metric",126.000000,-67.200000,-90.000000,top
"C6","100nF","C_0201_0603Metric",157.500000,-60.100000,-90.000000,top
"C7","100nF","C_0201_0603Metric",142.400000,-59.700000,-90.000000,top
"C8","18pF","C_0201_0603Metric",122.600000,-64.000000,-90.000000,top
"C9","18pF","C_0201_0603Metric",130.000000,-63.700000,-90.000000,top
"C10","0.33uf","C_0201_0603Metric",108.266600,-51.820000,90.000000,top
"C11","1uF","C_0201_0603Metric",130.670001,-55.750001,-90.000000,top
"C12","1uF","C_0201_0603Metric",120.600000,-51.200000,90.000000,top
"C13","100nF","C_0201_0603Metric",118.700000,-52.300000,-90.000000,top
"C14","1uF","C_0201_0603Metric",128.500000,-73.100000,-90.000000,top
"C15","10uf","C_0201_0603Metric",129.400000,-73.100000,-90.000000,top
"D1","LED","LED_0603_1608Metric",157.300000,-68.200000,90.000000,top
"D2","LED","LED_0603_1608Metric",154.300000,-68.200000,90.000000,top
"D3","SMLVT3V3","SMB_STM",136.600000,-97.900000,0.000000,top
"J1","~","PinSocket_1x04_P2.54mm_Vertical",123.040000,-44.100000,-90.000000,top
"J2","~","PinSocket_1x04_P2.54mm_Vertical",106.475000,-89.600000,180.000000,top
"J3","~","Molex_KK-254_AE-6410-05A_1x05_P2.54mm_Vertical",161.320000,-44.300000,180.000000,top
"J4","Micro_SD_Card","microSD_HC_Molex_47219-2001",135.605000,-87.300000,0.000000,top
"J5","Conn_ARM_JTAG_SWD_10","CONN10_3221-10-0300-00_CNC",154.995100,-54.387250,180.000000,top
"J6","~","PinSocket_1x08_P2.54mm_Vertical",147.180000,-44.400000,-90.000000,top
"J7","1987724","CONN_1987724_PXC",111.000000,-61.300000,0.000000,top
"J8","~","PinSocket_1x07_P2.54mm_Vertical",160.300000,-91.660000,180.000000,top
"J9","~","PinSocket_1x04_P2.54mm_Vertical",109.620000,-93.200000,90.000000,top
"L1","3.3uh","L_0201_0603Metric",127.600000,-73.100000,90.000000,top
"R1","10k","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",143.300000,-59.892500,90.000000,top
"R2","10k","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",123.800000,-70.200000,90.000000,top
"R3","220","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",157.300000,-63.807500,-90.000000,top
"R4","220","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",154.310000,-63.892500,-90.000000,top
"R12","4.7K","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",118.100000,-41.000000,90.000000,top
"R13","4.7K","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",115.400000,-41.000000,90.000000,top
"R14","10k","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",121.800000,-54.700000,180.000000,top
"U1","STM32L476RGTx","LQFP-64_10x10mm_P0.5mm",138.000000,-70.500000,0.000000,top
"U2","MIC5365-3.3YC5-TR","SOIC8_ONS",126.500000,-54.100000,0.000000,top
"U3","MC78L05ACDR2G","SOIC8_ONS",113.700000,-50.800000,180.000000,top
"XTAL1","ABLS-8.000MHZ-K4T","CRYSTAL_ABLS-8.000MHZ-K4T_ABR",127.100000,-60.000000,0.000000,top
