"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"D1,D2";"LED_0603_1608Metric";2;"LED";;;
2;"U1";"LQFP-64_10x10mm_P0.5mm";1;"STM32L476RGTx";;;
3;"C6,C13,C2,C4,C5,C7,C1,C3";"C_0201_0603Metric";8;"100nF";;;
4;"J6";"PinSocket_1x08_P2.54mm_Vertical";1;"~";;;
5;"J1,J2,J9";"PinSocket_1x04_P2.54mm_Vertical";3;"~";;;
6;"J3";"Molex_KK-254_AE-6410-05A_1x05_P2.54mm_Vertical";1;"~";;;
7;"R1,R14,R2,R7,R10,R8,R9";"R_0201_0603Metric_Pad0.64x0.40mm_HandSolder";7;"10k";;;
8;"C14,C12,C11";"C_0201_0603Metric";3;"1uF";;;
9;"L1";"L_0201_0603Metric";1;"3.3uh";;;
10;"R3,R4";"R_0201_0603Metric_Pad0.64x0.40mm_HandSolder";2;"220";;;
11;"C15";"C_0201_0603Metric";1;"10uf";;;
12;"J7";"CONN_1987724_PXC";1;"1987724";;;
13;"U3";"SOIC8_ONS";1;"MC78L05ACDR2G";;;
14;"J5";"CONN10_3221-10-0300-00_CNC";1;"Conn_ARM_JTAG_SWD_10";;;
15;"J4";"microSD_HC_Molex_47219-2001";1;"Micro_SD_Card";;;
16;"R13,R12";"R_0201_0603Metric_Pad0.64x0.40mm_HandSolder";2;"4.7K";;;
17;"J8";"PinSocket_1x07_P2.54mm_Vertical";1;"~";;;
18;"C9,C8";"C_0201_0603Metric";2;"18pF";;;
19;"D3";"SMB_STM";1;"SMLVT3V3";;;
20;"C10";"C_0201_0603Metric";1;"0.33uf";;;
21;"XTAL1";"CRYSTAL_ABLS-8.000MHZ-K4T_ABR";1;"ABLS-8.000MHZ-K4T";;;
22;"U2";"SOIC8_ONS";1;"MIC5365-3.3YC5-TR";;;
23;"D5,D7,D4,D6";"DFN1006-2_SOD882_NEX";4;"PESD5V0S1UL_315";;;
24;"SW2,SW1";"COM-10302";2;"~";;;
